ID	scientificName	authorship	rank	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpither	appendedPhrase	publishedInID	publishedInPage	publishedInYear	original	code	status	link	remarks
430	Psammophanes (Psammophanes) terrenus crassecostatus Koch, 1953	Koch, 1953	subsp.	Psammophanes			crassecostatus										
d09e82a3-ccab1-29646-e1e32-b39b70f7b	Dichtha		genus														
377	Psammophanes (Psammostretus) maculicollis Koch, 1953	Koch, 1953	species	Psammophanes													
1000	Sepidiostenus dolichopus Gestro, 1898	Gestro, 1898	species	Sepidiostenus													
1336	Cyrtoderes cristatus nigritus Solier, 1843	Solier, 1843	subsp.	Cyrtoderes			nigritus										
871	Psammodes erichsoni Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1143	Sepidium dufouri Solier, 1843	Solier, 1843	species	Sepidium													
186	Psammodes atratus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
d82237fb-a4538-3ec1e-98b7c-7b8f20a54	Palpomodes		subgenus														
1052	Vieta angustula Lesne, 1922	Lesne, 1922	species	Vieta													
1306	Somaticus (Trichotrachys) sinuatus Koch, 1955	Koch, 1955	species	Somaticus													
975	Psammodes vexator Péringuey, 1899	Péringuey, 1899	species	Psammodes													
244	Psammodes janitor Koch, 1953	Koch, 1953	species	Psammodes													
615	Pterostichula (Pterostichula) aridipaludis Louw, 1979	Louw, 1979	species	Pterostichula													
6c7399d9-283f8-38c4a-93f76-6d6eb1a99	Stenethmus		genus														
1075	Vieta luxorii Allard, 1874	Allard, 1874	species	Vieta													
1264	Somaticus (Tracheloeum) hoffmanni Haag-Rutenberg, 1878	Haag-Rutenberg, 1878	species	Somaticus													
1343	Ethmus (Ethmophobes) paradisiacus formosus Koch, 1958	Koch, 1958	subsp.	Ethmus			formosus										
65	Amiantus octocostatus Péringuey, 1896	Péringuey, 1896	species	Amiantus													
3a6f4776-f0f0d-84a51-7f992-5c085c827	Phrynophanes		genus														
691	Ocnodes (Ocnodes) dorsocostatus Gebien, 1910	Gebien, 1910	species	Ocnodes													
454	Phrynocolus tenuecostatus Gebien, 1910	Gebien, 1910	species	Phrynocolus													
560	Moluris catenatus Reiche, 1850	Reiche, 1850	species	Moluris													
840	Psammodes junodi Péringuey, 1899	Péringuey, 1899	species	Psammodes													
1459	Trachynotus acuticostis Gebien 1920	Gebien 1920	species	Trachynotus													
95	Brachyphrynus subnodosus Gebien, 1937	Gebien, 1937	species	Brachyphrynus													
116	Distretus (Perdistretus) duartei Koch, 1953	Koch, 1953	species	Distretus													
1079	Vieta ovalis Allard, 1874	Allard, 1874	species	Vieta													
1233	Somaticus (Acromaticus) transmontanus Koch, 1955	Koch, 1955	species	Somaticus													
1131	Sepidium barthelemyi Solier, 1843	Solier, 1843	species	Sepidium													
273	Psammodes pilosipennis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
773	Ocnodes (Ocnodes) spatulipes Koch, 1952	Koch, 1952	species	Ocnodes													
202	Psammodes comptus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
589	Decoriplus aequabilis Louw, 1979	Louw, 1979	species	Decoriplus													
669	Ocnodes (Ocnodes) barbosai Koch, 1952	Koch, 1952	species	Ocnodes													
1215	Somaticus (Acromaticus) dimorphus Koch, 1955	Koch, 1955	species	Somaticus													
1244	Somaticus (Ceromelaephus) wahlbergi Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
515	Pimelia striata Fabricius, 1775	Fabricius, 1775	species	Pimelia													
684ec8d0-db827-7c704-b2eb1-c1646f79b	Coleoptera		order														
157	Phrynocolus (Phrynocolopsis) subfrondosus Wilke, 1921	Wilke, 1921	species	Phrynocolus													
1417	Clinocranion planatus Solier, 1843	Solier, 1843	species	Clinocranion													
128	Glyptophrynus cordipennis Koch, 1962	Koch, 1962	species	Glyptophrynus													
167	Phrynophanes gredleri Haag-Rutenberg, 1877	Haag-Rutenberg, 1877	species	Phrynophanes													
284	Psammodes profanus Péringuey, 1899	Péringuey, 1899	species	Psammodes													
335	Psammodes villosulus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
347	Psammophanes (Psammophanes) camiadei Robiche, 2013	Robiche, 2013	species	Psammophanes													
752	Ocnodes (Ocnodes) pretorianus Koch, 1952	Koch, 1952	species	Ocnodes													
32	Sulcipectus levis Louw, 1979	Louw, 1979	species	Sulcipectus													
93	Brachyphrynus somalicus Wilke, 1921	Wilke, 1921	species	Brachyphrynus													
1128	Sepidium guisseri Kocher, 1958	Kocher, 1958	species	Sepidium													
121	Distretus (Perdistretus) schoutedeni Koch, 1954	Koch, 1954	species	Distretus													
881	Psammodes gibbus Haag-Rutenberg, 1879	Haag-Rutenberg, 1879	species	Psammodes													
916	Phanerotomea montanus Koch, 1952	Koch, 1952	species	Phanerotomea													
232	Psammodes granulifer Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1241	Somaticus (Ceromelaephus) badeni Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
381	Psammophanes (Psammotyriopsis) bredoi Koch, 1953	Koch, 1953	species	Psammophanes													
602	Namibomodes rubra Koch, 1962	Koch, 1962	species	Namibomodes													
749	Ocnodes (Ocnodes) pedator Fairmaire, 1888	Fairmaire, 1888	species	Ocnodes													
1353	Somaticus (Bechuanitis) brucki ovamboanus Koch, 1955	Koch, 1955	subsp.	Somaticus			ovamboanus										
171	Phrynophanes reticulatus Wilke, 1921	Wilke, 1921	species	Phrynophanes													
305	Psammodes sellatus Haag-Rutenberg, 1875	Haag-Rutenberg, 1875	species	Psammodes													
1340	Ethmus (Ethmophobes) latus bisbicostatus Koch, 1958	Koch, 1958	subsp.	Ethmus			bisbicostatus										
1456	Trachynotus pygmaeus Fåhraeus, 1870	Fåhraeus, 1870	species	Trachynotus													
130	Glyptophrynus ovipennis Fairmaire, 1899	Fairmaire, 1899	species	Glyptophrynus													
1113	Vieta senegalensis dongolensis Laporte, 1840	Laporte, 1840	subsp.	Vieta			dongolensis										
665	Ocnodes (Chiliarchum) junodi Péringuey, 1899	Péringuey, 1899	species	Ocnodes													
736	Ocnodes (Ocnodes) montanus Koch, 1952	Koch, 1952	species	Ocnodes													
1093	Vieta tuberosa Fairmaire, 1882	Fairmaire, 1882	species	Vieta													
1292	Somaticus (Trachyderes) ratus Koch, 1955	Koch, 1955	species	Somaticus													
447	Phrynocolus fiomicum Wilke, 1921	Wilke, 1921	species	Phrynocolus													
517	Moluris unicolor Solier, 1843	Solier, 1843	species	Moluris													
25	Hypomelus servus Péringuey, 1899	Péringuey, 1899	species	Hypomelus													
266	Psammodes obsulcatus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
523	Moluris reichei Solier, 1843	Solier, 1843	species	Moluris													
946	Psammodes zoutpansbergianus Péringuey, 1904	Péringuey, 1904	species	Psammodes													
1380	Somaticus (Trichotrachys) varicollis brachythorax Koch, 1955	Koch, 1955	subsp.	Somaticus			brachythorax										
1435	Trachynotus maculosus Fåhraeus, 1870	Fåhraeus, 1870	species	Trachynotus													
601	Namibomodes maculicollis Koch, 1962	Koch, 1962	species	Namibomodes													
1063	Vieta erosa Allard, 1882	Allard, 1882	species	Vieta													
990	Dimoniacis jacksoni Koch, 1958	Koch, 1958	species	Dimoniacis													
c0cf4317-96d5a-661bc-66c36-54b05543a	Oxycerus		genus														
402	Melanolophus sexcostatus tuberculatus Koch, 1960	Koch, 1960	subsp.	Melanolophus			tuberculatus										
879	Phanerotomea gemmeulus Koch, 1952	Koch, 1952	species	Phanerotomea													
101	Dichtha (Distretus) quedenfeldti Kolbe, 1886	Kolbe, 1886	species	Dichtha													
203	Psammodes convexus Solier, 1843	Solier, 1843	species	Psammodes													
617	Pterostichula (Pterostichula) calathoides Koch, 1952	Koch, 1952	species	Pterostichula													
757	Ocnodes (Ocnodes) puncticollis Koch, 1952	Koch, 1952	species	Ocnodes													
1339	Ethmus (Ethmophobes) herero pronamibensis Koch, 1958	Koch, 1958	subsp.	Ethmus			pronamibensis										
1393	Trachynotus frontalis Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
276	Psammodes placidus Péringuey, 1899	Péringuey, 1899	species	Psammodes													
343	Psammophanes (Psammophanes) beccarii Gridelli, 1939	Gridelli, 1939	species	Psammophanes													
175	Phrynophanes squamifer Gridelli, 1939	Gridelli, 1939	species	Phrynophanes													
239	Psammodes herero Péringuey, 1908	Péringuey, 1908	species	Psammodes													
519	Psammodes lugubris Fåhraeus, 1870	Fåhraeus, 1870	species	Psammodes													
1447	Trachynotus dubius Péringuey, 1885	Péringuey, 1885	species	Trachynotus													
21	Hypomelus peronatus Germar, 1823	Germar, 1823	species	Hypomelus													
26cb4575-418be-5c379-524aa-bef4fd5b2	Triangulipenna		genus														
0cde6156-9748a-28d2f-c2c5c-c6809f046	Bechuanitis		subgenus														
179	Physophrynus crenatocostatus Fairmaire, 1887	Fairmaire, 1887	species	Physophrynus													
288	Psammodes pustulifer Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1114	Sepidium spinicollis Laporte, 1840	Laporte, 1840	species	Sepidium													
58	Amiantus connexus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Amiantus													
853	Phanerotomea buccinator Koch, 1952	Koch, 1952	species	Phanerotomea													
ddb1df26-680b3-4488c-943de-edd8a25f6	Palpomodes		genus														
490	Cryptogenius dentatus Solier, 1843	Solier, 1843	species	Cryptogenius													
714	Ocnodes (Ocnodes) imbricatus Koch, 1952	Koch, 1952	species	Ocnodes													
966	Psammodes transversicollis Haag-Rutenberg, 1879	Haag-Rutenberg, 1879	species	Psammodes													
1395	Tynthlobia quadricostatus Fairmaire, 1888	Fairmaire, 1888	species	Tynthlobia													
62	Amiantus globulipennis Péringuey, 1896	Péringuey, 1896	species	Amiantus													
325	Psammodes tristis Fåhraeus, 1870	Fåhraeus, 1870	species	Psammodes													
468	Moluris amplipennis Fåhraeus, 1870	Fåhraeus, 1870	species	Moluris													
837	Phanerotomea freyi Koch, 1952 316)	Koch, 1952 316)	species	Phanerotomea													
235	Psammodes hirtipennis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1330	Trachynotus sctulosus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
382	Psammophanes (Somalarabes) ahlmedoensis Koch, 1969	Koch, 1969	species	Psammophanes													
16c4b02f-2e34e-99a80-522d6-bc6527ca3	Vieta		genus														
1067	Vieta grixonii Gestro, 1895	Gestro, 1895	species	Vieta													
1091	Vieta subcaudata Lesne, 1922	Lesne, 1922	species	Vieta													
71	Amiantus undosus Distant, 1892	Distant, 1892	species	Amiantus													
253	Psammodes longipes Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
255	Psammodes mashunus Péringuey, 1899	Péringuey, 1899	species	Psammodes													
259	Psammodes muata Harold, 1878	Harold, 1878	species	Psammodes													
298	Psammodes rugulosus Solier, 1843	Solier, 1843	species	Psammodes													
351	Psammophanes (Psammophanes) gridellii Koch, 1953	Koch, 1953	species	Psammophanes													
445	Phrynocolus crispatus Fairmaire, 1887	Fairmaire, 1887	species	Phrynocolus													
31	Sulcipectus cumcavus Louw, 1979	Louw, 1979	species	Sulcipectus													
81	Arturium glauningi Wilke, 1921	Wilke, 1921	species	Arturium													
300	Psammodes scaber Fabricius, 1775	Fabricius, 1775	species	Psammodes													
7751c62d-b01e5-3c853-e7a7f-7cf44c46b	Stridulomus		genus														
1084	Vieta rendiliana Lesne, 1922	Lesne, 1922	species	Vieta													
1217	Somaticus (Acromaticus) hirundo Koch, 1955	Koch, 1955	species	Somaticus													
1467	Trachynotus vestitus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
6	Bombocnodulus wittei Penrith, 1986	Penrith, 1986	species	Bombocnodulus													
221	Psammodes flagrans Péringuey, 1899	Péringuey, 1899	species	Psammodes													
886	Psammodes granulosicollis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
953	Psammodes semiscabrum Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1477	Sepidium vittatus Fabricius, 1781	Fabricius, 1781	species	Sepidium													
140	Moluris ferrari Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Moluris													
480	Amiantus sexcostatus Gahan, 1900	Gahan, 1900	species	Amiantus													
d97d614f-b2f4e-d6f3b-b31ac-a9443eb53	Oxura		genus														
630	Pterostichula (Ripicolodes) parvicollis Louw, 1979	Louw, 1979	species	Pterostichula													
640	Stenethmus tentyriiniformis Hesse, 1935	Hesse, 1935	species	Stenethmus													
785	Ocnodes (Ocnodes) vagus Péringuey, 1899	Péringuey, 1899	species	Ocnodes													
1017	Sepidium crassicaudatum Gestro, 1878	Gestro, 1878	species	Sepidium													
47	Psammodes inquinatus Péringuey, 1899	Péringuey, 1899	species	Psammodes													
174	Phrynophanes schoutedeni Koch, 1951	Koch, 1951	species	Phrynophanes													
205	Psammodes costalis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1421	Trachynotus regalis Haag-Rutenberg, 1875	Haag-Rutenberg, 1875	species	Trachynotus													
1230	Somaticus (Acromaticus) scaber Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
537	Trachynotidus refleximargo Gebien, 1920	Gebien, 1920	species	Trachynotidus													
930	Psammodes pachysoma Péringuey, 1892	Péringuey, 1892	species	Psammodes													
1159	Sepidium vestitum Guérin-Méneville, 1831	Guérin-Méneville, 1831	species	Sepidium													
75	Arturium benanum Wilke, 1921	Wilke, 1921	species	Arturium													
1173	Epairopsis superbus Koch 1958	Koch 1958	species	Epairopsis													
716	Ocnodes (Ocnodes) inflatus Koch, 1952	Koch, 1952	species	Ocnodes													
1065	Vieta gracilenta Ancey, 1881	Ancey, 1881	species	Vieta													
549	Psammodes praestans Péringuey, 1899	Péringuey, 1899	species	Psammodes													
563	Psammodes gurannicus Lesne, 1922	Lesne, 1922	species	Psammodes													
922	Phanerotomea odorans Koch, 1952	Koch, 1952	species	Phanerotomea													
1468	Trachynotus crinitus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
258	Psammodes moschleri Haag-Rutenberg, 1875	Haag-Rutenberg, 1875	species	Psammodes													
368	Psammophanes (Psammophanes) terrenus Lesne, 1922	Lesne, 1922	species	Psammophanes													
293	Psammodes rotundicollis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1170	Cyrtoderes hamaticollis Péringuey, 1904	Péringuey, 1904	species	Cyrtoderes													
1296	Somaticus (Trichotrachys) darlingtoni Koch, 1955	Koch, 1955	species	Somaticus													
917	Phanerotomea mozambicus Koch, 1952	Koch, 1952	species	Phanerotomea													
1139	Sepidium bicorne Solier, 1843	Solier, 1843	species	Sepidium													
142	Moluris gibbicollis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Moluris													
161	Phrynocolus (Phrynocolus) theryi Koch, 1951	Koch, 1951	species	Phrynocolus													
1203	Ossiporis marshalli Koch, 1953	Koch, 1953	species	Ossiporis													
844	Phanerotomea argenteofasciatus Koch, 1953	Koch, 1953	species	Phanerotomea													
1413	Trachynotus badeni Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
187	Psammodes basuto Koch, 1953	Koch, 1953	species	Psammodes													
5dbe153c-ad5e4-b22fd-36122-98c88b8b3	Dimoniacis		genus														
918	Phanerotomea muliebris Koch, 1952	Koch, 1952	species	Phanerotomea													
371	Psammophanes (Psammophrynus) jokli Koch, 1953	Koch, 1953	species	Psammophanes													
643	Synhimba melancholica Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Synhimba													
207	Psammodes depressicollis Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1034	Sepidium mskalicum Escalera, 1914	Escalera, 1914	species	Sepidium													
528	Psammodes rotundipennis Péringuey, 1899	Péringuey, 1899	species	Psammodes													
1418	Clinocranion spinosus Solier, 1843	Solier, 1843	species	Clinocranion													
63	Amiantus lobicollis Kolbe, 1886	Kolbe, 1886	species	Amiantus													
82	Arturium methneri Wilke, 1921	Wilke, 1921	species	Arturium													
857	Phanerotomea cataractus Koch, 1952	Koch, 1952	species	Phanerotomea													
1049	Sepidium wagneri Erichson, 1841	Erichson, 1841	species	Sepidium													
1090	Vieta spiculosa Gerstaecker, 1884	Gerstaecker, 1884	species	Vieta													
1012	Sepidium bilobatum Gahan, 1900	Gahan, 1900	species	Sepidium													
1201	Ossiporis capeneri Koch, 1953	Koch, 1953	species	Ossiporis													
119	Distretus (Perdistretus) seminitidus Quedenfeldt, 1888	Quedenfeldt, 1888	species	Distretus													
682	Ocnodes (Ocnodes) complanatus Koch, 1952	Koch, 1952	species	Ocnodes													
1028	Sepidium kelleri Fairmaire, 1893	Fairmaire, 1893	species	Sepidium													
1369	Somaticus (Tracheloeum) pretorianus bushveldeus Koch, 1955	Koch, 1955	subsp.	Somaticus			bushveldeus										
465	Phrynocolus wachei Wilke, 1921	Wilke, 1921	species	Phrynocolus													
478	Phrynocolus madecassus Fairmaire, 1901	Fairmaire, 1901	species	Phrynocolus													
546	Moluris tomentosus Solier, 1843	Solier, 1843	species	Moluris													
654	Psammodes serrimargo Gebien, 1938	Gebien, 1938	species	Psammodes													
e764f3aa-700f3-5d902-883eb-f09919bb2	Molurina		subtribe														
813	Tarsocnodes prozeskyorum Penrith, 1986	Penrith, 1986	species	Tarsocnodes													
958	Psammodes specularis Péringuey, 1899	Péringuey, 1899	species	Psammodes													
690	Ocnodes (Ocnodes) dolosus Péringuey, 1899	Péringuey, 1899	species	Ocnodes													
1046	Sepidium tualensis Escalera, 1940	Escalera, 1940	species	Sepidium													
134	Melanolophus lomianus Koch, 1956	Koch, 1956	species	Melanolophus													
592	Decoriplus costimargo Louw, 1979	Louw, 1979	species	Decoriplus													
1231	Somaticus (Acromaticus) striatus Thunberg, 1787	Thunberg, 1787	species	Somaticus													
196	Psammodes caraboides Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
e51f3d1e-a72bb-556ac-89f57-6f0aa5325	Psammophanes		subgenus														
342	Psammophanes (Psammolophus) antinorii Gridelli, 1939	Gridelli, 1939	species	Psammophanes													
590	Decoriplus clavus Louw, 1979	Louw, 1979	species	Decoriplus													
636	Stenethmus punctipleuris Kaszab, 1972	Kaszab, 1972	species	Stenethmus													
688	Ocnodes (Ocnodes) dimorphus Koch, 1952	Koch, 1952	species	Ocnodes													
784	Ocnodes (Ocnodes) umvumanus Koch, 1952	Koch, 1952	species	Ocnodes													
13d38982-68cef-ab5af-4d99e-6bf63b948	Psammoryssus		genus														
195	Psammodes caffra Fåhraeus, 1870	Fåhraeus, 1870	species	Psammodes													
336	Psammodes vittatus Solier, 1843	Solier, 1843	species	Psammodes													
1273	Somaticus (Tracheloeum) transvaalensis Koch, 1955	Koch, 1955	species	Somaticus													
425	Psammophanes (Psammophanes) plicatus aethiopicus Koch, 1953	Koch, 1953	subsp.	Psammophanes			aethiopicus										
867	Psammodes dorsocostatus Gebien, 1910	Gebien, 1910	species	Psammodes													
1462	Trachynotus griseus Fåhraeus, 1870	Fåhraeus, 1870	species	Trachynotus													
1479	Sepidium plicatus Wiedemann, 1823	Wiedemann, 1823	species	Sepidium													
1008	Sepidium aper Fairmaire, 1884	Fairmaire, 1884	species	Sepidium													
1068	Vieta hamaticollis Fairmaire, 1887	Fairmaire, 1887	species	Vieta													
839	Psammodes guerini Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
1409	Trachynotus brucki Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
1288	Somaticus (Trachyderes) incostatus Gebien, 1920	Gebien, 1920	species	Somaticus													
1311	Somaticus (Trichotrachys) vestitus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
408	Psammodes diabolicus tactilis Koch, 1962	Koch, 1962	subsp.	Psammodes			tactilis										
1125	Sepidium bispinicollis Reitter, 1914	Reitter, 1914	species	Sepidium													
1414	Trachynotus scrobiculatus Péringuey, 1885	Péringuey, 1885	species	Trachynotus													
7	Brinckia australis Penrith, 1986	Penrith, 1986	species	Brinckia													
289	Psammodes quadricostatus Fåhraeus, 1870	Fåhraeus, 1870	species	Psammodes													
1202	Ossiporis crenulimargo Koch, 1953	Koch, 1953	species	Ossiporis													
1236	Somaticus (Bechuanitis) brucki Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
1289	Somaticus (Trachyderes) kungorum Koch, 1955	Koch, 1955	species	Somaticus													
423	Psammophanes (Psammophanes) pilosiusculus ecostatus Lesne, 1922	Lesne, 1922	subsp.	Psammophanes			ecostatus										
836	Moluris bertolonii Guérin-Méneville, 1844	Guérin-Méneville, 1844	species	Moluris													
1406	Sepidium striatus Thunberg, 1787	Thunberg, 1787	species	Sepidium													
177	Physophrynus burdoi Fairmaire, 1882	Fairmaire, 1882	species	Physophrynus													
385	Psammophanes (Somalarabes) gracilentus Fairmaire, 1882	Fairmaire, 1882	species	Psammophanes													
812	Tarsocnodes praegrandis Koch, 1952	Koch, 1952	species	Tarsocnodes													
1013	Sepidium boranum Mal, 1986	Mal, 1986	species	Sepidium													
1235	Somaticus (Bechuanitis) bohemani Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
421	Psammophanes (Psammophanes) beccarii sudanicus Koch, 1953	Koch, 1953	subsp.	Psammophanes			sudanicus										
159	Phrynocolus (Phrynocolus) felinus Koch, 1951	Koch, 1951	species	Phrynocolus													
806	Tarsocnodes laevipennis Haag-Rutenberg, 1879	Haag-Rutenberg, 1879	species	Tarsocnodes													
755	Ocnodes (Ocnodes) protectus Koch, 1952	Koch, 1952	species	Ocnodes													
477	Amiantus costatus Péringuey, 1896	Péringuey, 1896	species	Amiantus													
920	Sepidium notatum Thunberg, 1787	Thunberg, 1787	species	Sepidium													
172	Phrynophanes schereri Koch, 1969	Koch, 1969	species	Phrynophanes													
352	Psammophanes (Psammophanes) gurannicus Lesne, 1922	Lesne, 1922	species	Psammophanes													
b17522ca-36e49-15879-01600-3c9a5f3e5	Acromaticus		subgenus														
314	Psammodes striatopilosus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
727	Ocnodes (Ocnodes) marginicollis Koch, 1952	Koch, 1952	species	Ocnodes													
1004	Sepidiostenus pradieri Guérin-Méneville, 1858	Guérin-Méneville, 1858	species	Sepidiostenus													
1030	Sepidium magnum Gahan, 1900	Gahan, 1900	species	Sepidium													
1261	Somaticus (Tracheloeum) dilatatus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Somaticus													
1303	Somaticus (Trichotrachys) newtoni Koch, 1955	Koch, 1955	species	Somaticus													
418	Psammodes uniformis litoralis Koch, 1953	Koch, 1953	subsp.	Psammodes			litoralis										
1411	Trachynotus geniculatus Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
74	Arturium auriculatus Gebien, 1910	Gebien, 1910	species	Arturium													
acd60744-38144-53fc4-f75a8-064b1d22b	Phrynocolopsis		subgenus														
1416	Trachynotus wahlbergi Haag-Rutenberg, 1873	Haag-Rutenberg, 1873	species	Trachynotus													
307	Psammodes semivillosus Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Psammodes													
725	Ocnodes (Ocnodes) luxurosus Koch, 1952	Koch, 1952	species	Ocnodes													
770	Ocnodes (Ocnodes) sericicollis Koch, 1952	Koch, 1952	species	Ocnodes													
1020	Sepidium cyrenaicum Schuster, 1928	Schuster, 1928	species	Sepidium													
1265	Somaticus (Tracheloeum) impressicollis Péringuey, 1885	Péringuey, 1885	species	Somaticus													
1107	Sepidium tricuspidatum mogadoricum Escalera, 1914	Escalera, 1914	subsp.	Sepidium			mogadoricum										
68	Amiantus pusillus Péringuey, 1904	Péringuey, 1904	species	Amiantus													
149	Moluris rustica Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Moluris													
1372	Somaticus (Tracheloeum) silphoides peringueyi Koch, 1955	Koch, 1955	subsp.	Somaticus			peringueyi										
459	Phrynocolus kuntzeni Wikle, 1921	Wikle, 1921	species	Phrynocolus													
1450	Trachynotus goryi Solier, 1843	Solier, 1843	species	Trachynotus													
92	Brachyphrynus placidus Kolbe, 1885	Kolbe, 1885	species	Brachyphrynus													
944	Phanerotomea roriferus Koch, 1952	Koch, 1952	species	Phanerotomea													
648	Palpomodes (Palpomodes) physopterus angolensis Koch, 1958	Koch, 1958	subsp.	Palpomodes			angolensis										
875	Psammodes fraternus Haag-Rutenberg, 1875	Haag-Rutenberg, 1875	species	Psammodes													
176	Physophrynus bufo Haag-Rutenberg, 1871	Haag-Rutenberg, 1871	species	Physophrynus													
1039	Sepidium peyerimhoffi Antoine, 1932	Antoine, 1932	species	Sepidium													
d1734b8c-7b16d-2d726-61b0c-05822e35b	Psammophanes		genus														
728	Ocnodes (Ocnodes) martinsi Koch, 1952	Koch, 1952	species	Ocnodes													
796	Tarsocnodes aquamontis Penrith, 1987	Penrith, 1987	species	Tarsocnodes													
1045	Sepidium tricuspidatum Fabricius, 1775	Fabricius, 1775	species	Sepidium													
502	Psammodes squamifer Gridelli, 1939	Gridelli, 1939	species	Psammodes													
856	Psammodes cardiopterus Fairmaire, 1888	Fairmaire, 1888	species	Psammodes													
192	Psammodes brunneus Olivier, 1795	Olivier, 1795	species	Psammodes													
285	Psammodes propinquus Quedenfeldt, 1885	Quedenfeldt, 1885	species	Psammodes													
