ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpeciesEpithet	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
559	345	Amiantus		castanopterus	Haag-Rutenberg, 1875				Synonym	Synonym	
560	346	Moluris		catenatus	Reiche, 1850				Synonym	Synonym	
561	346	Psammodes		abyssinicus	Haag-Rutenberg, 1871b				Synonym	Synonym	
562	349	Psammodes		duodecimcostatus	Lesne, 1922				Synonym	Synonym	
563	352	Psammodes		gurannicus	Lesne, 1922				Synonym	Synonym	
564	353	Psammodes		impressiventris	Fairmaire, 1897				Synonym	Synonym	
565	356	Psammodes		mirei	Pierre, 1979				Synonym	Synonym	
566	358	Psammodes		naivashanus	Lesne, 1922				Synonym	Synonym	
567	359	Psammodes		pilosiusculus	Gebien, 1913				Synonym	Synonym	
568	361	Phrynocolus		plicatus	Gerstaecker, 1871				Synonym	Synonym	
569	361	Psammodes		sulcatus	Gebien 1910b				Synonym	Synonym	
570	361	Psammodes		plicipennis	Fairmaire, 1891b				Homonym	Synonym	
571	363	Psammodes		pyriformis	Gridelli, 1939b)				Synonym	Synonym	
572	364	Psammodes		raffrayi	Lesne, 1922				Synonym	Synonym	
573	365	Psammodes		rubrolineatus	Lesne, 1922				Synonym	Synonym	
574	366	Phrynocolus		sexcostatus	Gerstäcker, 1884				Synonym	Synonym	
575	368	Psammodes		terrenus	Lesne, 1922				Synonym	Synonym	
576	369	Psammodes		vagecostatus	Fairmaire, 1882b				Synonym	Synonym	
577	370	Phrynocolus		frommi	Wilke, 1921				Synonym	Synonym	
578	374	Psammodes		bisbicostatus	Gebien, 1910a				Synonym	Synonym	
579	378	Psammodes		neavei	Gebien, 1910a				Synonym	Synonym	
580	380	Psammodes		prosodoides	Gebien, 1910a				Synonym	Synonym	
581	383	Psammodes		arabicus	Gebien, 1938				Synonym	Synonym	
582	385	Psammodes		gracilentus	Fairmaire, 1882a				Synonym	Synonym	
583	388	Moluris		attenuatus	Fairmaire, 1887				Synonym	Synonym	
584	388	Moluris		tentyrioides	Fairmaire, 1891a				Synonym	Synonym	
585	388	Psammodes		magnophthalmus	Koch, 1953a				Synonym	Synonym	
586	389	Psammodes		ertli	Kolbe, 1904				Synonym	Synonym	
587	390	Moluris		lateridens	Fairmaire, 1887				Synonym	Synonym	
588	391	Psammodes		quadricostatus	Fairmaire, 1891b				Homonym	Synonym	
652	596	Psammodes		hieroglyphicus	Haag-Rutenberg, 1871a				Synonym	Synonym	
653	598	Psammodes		pictus	Haag-Rutenberg, 1871a				Synonym	Synonym	
654	603	Psammodes		serrimargo	Gebien, 1938a				Synonym	Synonym	
655	605	Psammodes		connexa	Haag-Rutenberg, 1871a				Synonym	Synonym	
656	612	Namibomodes		halophilus	Koch, 1958				Synonym	Synonym	
657	613	Psammodes		physopterus	Gebien, 1920				Synonym	Synonym	
658	614	Namibomodes		rudebecki	Koch, 1952				Synonym	Synonym	
659	640	Psammodes		tentyriiniformis	Hesse, 1935				Synonym	Synonym	
836	662	Moluris		bertolonii	Guérin-Méneville, 1844				Synonym	Synonym	
837	663	Phanerotomea		freyi	Koch, 1952 316)				Synonym	Synonym	
838	664	Psammodes		guerini	Haag-Rutenberg, 1871a				Synonym	Synonym	
839	664	Psammodes		guerini	Haag-Rutenberg, 1871a				Synonym	Synonym	
840	665	Psammodes		junodi	Péringuey, 1899				Synonym	Synonym	
841	665	Psammodes		junodi	Fairmaire, 1899a				Synonym	Synonym	
842	666	Psammodes		acuductus	Ancey, 1883				Synonym	Synonym	
843	667	Phanerotomea		adamantinus	Koch, 1952				Synonym	Synonym	
844	668	Phanerotomea		argenteofasciatus	Koch, 1953b				Synonym	Synonym	
845	669	Phanerotomea		barbosai	Koch, 1952				Synonym	Synonym	
846	670	Phanerotomea		basilewskyi	Koch, 1952				Synonym	Synonym	
847	671	Phanerotomea		bellmarleyi	Koch, 1952				Synonym	Synonym	
848	672	Phanerotomea		benguelensis	Koch, 1952				Synonym	Synonym	
849	673	Phanerotomea		blandus	Koch, 1952				Synonym	Synonym	
850	674	Phanerotomea		brevicornis	Haag-Rutenberg, 1875				Synonym	Synonym	
851	674	Psammodes		rugicollis	Kolbe, 1883				Synonym	Synonym	
852	675	Psammodes		brunnescens	Haag-Rutenberg, 1871a				Synonym	Synonym	
853	676	Phanerotomea		buccinator	Koch, 1952				Synonym	Synonym	
854	677	Phanerotomea		bushmanicus	Koch, 1952				Synonym	Synonym	
855	678	Phanerotomea		carbonarius	Gerstaecker, 1854				Synonym	Synonym	
856	679	Psammodes		cardiopterus	Fairmaire, 1888b				Synonym	Synonym	
857	680	Phanerotomea		cataractus	Koch, 1952				Synonym	Synonym	
858	681	Phanerotomea		cinerarius	Koch, 1952				Synonym	Synonym	
859	682	Phanerotomea		complanatus	Koch, 1952				Synonym	Synonym	
860	684	Phanerotomea		confertus	Koch, 1952				Synonym	Synonym	
861	685	Psammodes		congruens	Péringuey, 1899				Synonym	Synonym	
862	686	Psammodes		cordiventris	Haag-Rutenberg, 1871a				Synonym	Synonym	
863	687	Phanerotomea		crocodilinus	Koch, 1952				Synonym	Synonym	
864	688	Phanerotomea		dimorphus	Koch, 1952				Synonym	Synonym	
865	689	Psammodes		distinctus	Haag-Rutenberg, 1871a				Synonym	Synonym	
866	690	Psammodes		dolosus	Péringuey, 1899				Synonym	Synonym	
867	691	Psammodes		dorsocostatus	Gebien, 1910a				Synonym	Synonym	
868	692	Psammodes		dubiosus	Péringuey, 1899				Synonym	Synonym	
869	693	Phanerotomea		ejectus	Koch, 1952				Synonym	Synonym	
870	694	Phanerotomea		epronoticus	Koch, 1952				Synonym	Synonym	
871	695	Psammodes		erichsoni	Haag-Rutenberg, 1871b				Synonym	Synonym	
872	696	Phanerotomea		ferreirae	Koch, 1952				Synonym	Synonym	
873	697	Psammodes		fettingi	Haag-Rutenberg, 1875				Synonym	Synonym	
874	698	Phanerotomea		fistucans	Koch, 1952				Synonym	Synonym	
875	699	Psammodes		fraternus	Haag-Rutenberg, 1875				Synonym	Synonym	
876	700	Phanerotomea		freudei	Koch, 1952				Synonym	Synonym	
877	701	Phanerotomea		fulgidus	Koch, 1952				Synonym	Synonym	
878	702	Psammodes		funestus	Haag-Rutenberg, 1871a				Synonym	Synonym	
879	703	Phanerotomea		gemmeulus	Koch, 1952				Synonym	Synonym	
880	704	Psammodes		gibberosulus	Péringuey, 1908				Synonym	Synonym	
881	705	Psammodes		gibbus	Haag-Rutenberg, 1879				Synonym	Synonym	
882	705	Psammodes		integer	Péringuey 1899				Synonym	Synonym	
883	706	Psammodes		globosus	Haag-Rutenberg, 1871a				Synonym	Synonym	
884	706	Psammodes		myrmidon	Péringuey, 1899				Synonym	Synonym	
885	707	Phanerotomea		granisterna	Koch, 1952				Synonym	Synonym	
886	708	Psammodes		granulosicollis	Haag-Rutenberg, 1871a				Synonym	Synonym	
887	709	Phanerotomea		gridellii	Koch, 1960				Synonym	Synonym	
888	710	Phanerotomea		haemorrhoidalis	Koch, 1952				Synonym	Synonym	
889	711	Psammodes		heydeni	Haag-Rutenberg, 1871a				Synonym	Synonym	
890	712	Psammodes		humeralis	Haag-Rutenberg, 1871a				Synonym	Synonym	
891	713	Tarsocnodes		humerangula	Koch, 1952				Synonym	Synonym	
892	714	Phanerotomea		imbricatus	Koch, 1952				Synonym	Synonym	
893	715	Psammodes		imitator	Péringuey, 1899				Synonym	Synonym	
894	716	Phanerotomea		inflatus	Koch, 1952				Synonym	Synonym	
895	717	Phanerotomea		janssensi	Koch, 1952				Synonym	Synonym	
896	718	Psammodes		javeti	Haag-Rutenberg, 1871a				Synonym	Synonym	
897	719	Phanerotomea		kulzeri	Koch, 1952				Synonym	Synonym	
898	720	Phanerotomea		lacustris	Koch, 1952				Synonym	Synonym	
899	721	Pimelia		laevigatus	Olivier, 1795				Synonym	Synonym	
900	721	Pimelia		marginata	Herbst, 1799				Synonym	Synonym	
901	721	Phanerotoma		elongatum	Solier, 1843				Homonym	Synonym	
902	722	Phanerotomea		lanceolatus	Koch, 1953a				Synonym	Synonym	
903	723	Psammodes		licitus	Peringuey, 1899				Synonym	Synonym	
904	724	Psammodes		luctuosus	Haag-Rutenberg, 1871a				Synonym	Synonym	
905	724	Phanerotomea		luxurosus	Koch, 1952				Synonym	Synonym	
906	726	Phanerotomea		maputoensis	Koch, 1952				Synonym	Synonym	
907	727	Phanerotomea		marginicollis	Koch, 1952				Synonym	Synonym	
908	728	Phanerotomea		martinsi	Koch, 1952				Synonym	Synonym	
909	729	Phanerotomea		melleus	Koch, 1952				Synonym	Synonym	
910	730	Psammodes		mendicus	Péringuey, 1899				Synonym	Synonym	
911	731	Psammodes		miles	Péringuey, 1908				Synonym	Synonym	
912	732	Phanerotomea		mimeticus	Koch, 1952				Synonym	Synonym	
913	733	Psammodes		misolampoides	Fairmaire, 1888b				Synonym	Synonym	
914	734	Psammodes		mixtus	Haag-Rutenberg, 1871a				Synonym	Synonym	
915	735	Phanerotomea		monacha	Koch, 1952				Synonym	Synonym	
916	736	Phanerotomea		montanus	Koch, 1952				Synonym	Synonym	
917	737	Phanerotomea		mozambicus	Koch, 1952				Synonym	Synonym	
918	738	Phanerotomea		muliebris	Koch, 1952				Synonym	Synonym	
919	739	Psammodes		nervosus	Haag-Rutenberg, 1871a				Synonym	Synonym	
920	740	Sepidium		notatum	Thunberg, 1787				Synonym	Synonym	
921	741	Phanerotomea		notaticollis	Koch, 1952				Synonym	Synonym	
922	742	Phanerotomea		odorans	Koch, 1952				Synonym	Synonym	
923	743	Phanerotomea		opacus	Solier, 1843				Synonym	Synonym	
924	744	Moluris		osbecki	Billberg, 1815				Synonym	Synonym	
925	744	Phanerotoma		suturalis	Solier, 1843				Synonym	Synonym	
926	745	Phanerotomea		overlaeti	Koch, 1952				Synonym	Synonym	
927	746	Psammodes		ovulus	Haag-Rutenberg, 1871a				Synonym	Synonym	
928	746	Psammodes		probus	Péringuey, 1899				Synonym	Synonym	
929	746	Psammodes		consors	Péringuey, 1899				Synonym	Synonym	
930	747	Psammodes		pachysoma	Péringuey, 1892				Synonym	Synonym	
931	748	Phanerotomea		papillosus	Koch, 1952				Synonym	Synonym	
932	749	Psammodes		pedator	Fairmaire, 1888b				Synonym	Synonym	
933	750	Phanerotomea		perlucidus	Koch, 1952				Synonym	Synonym	
934	751	Phanerotomea		planus	Koch, 1952				Synonym	Synonym	
935	752	Phanerotomea		pretorianus	Koch, 1952				Synonym	Synonym	
936	753	Psammodes		procursus	Péringuey, 1899				Synonym	Synonym	
937	754	Moluris		procrustes	Westwood, 1875				Synonym	Synonym	
938	755	Phanerotomea		protectus	Koch, 1952				Synonym	Synonym	
939	756	Phanerotomea		punctatissimus	Koch, 1952				Synonym	Synonym	
940	757	Phanerotomea		puncticollis	Koch, 1952				Synonym	Synonym	
941	758	Psammodes		punctipennis	Harold, 1878				Synonym	Synonym	
942	758	Phanerotomea		punctipleura	Koch, 1952				Synonym	Synonym	
943	760	Phanerotomea		rhodesianus	Koch, 1952				Synonym	Synonym	
944	761	Phanerotomea		roriferus	Koch, 1952				Synonym	Synonym	
945	762	Moluris		rowleianus	Westwood, 1864				Synonym	Synonym	
946	762	Psammodes		zoutpansbergianus	Péringuey, 1904				Synonym	Synonym	
947	763	Psammodes		rufipes	Harold, 1878				Synonym	Synonym	
948	763	Psammodes		congoanus	Gebien, 1920b				Synonym	Synonym	
949	764	Phanerotomea		saltuarius	Koch, 1952				Synonym	Synonym	
950	765	Phanerotomea		scabricollis	Gerstaecker, 1854				Synonym	Synonym	
951	766	Phanerotomea		scopulipes	Koch, 1952				Synonym	Synonym	
952	768	Phanerotomea		semirasus	Koch, 1952				Synonym	Synonym	
953	769	Psammodes		semiscabrum	Haag-Rutenberg, 1871a				Synonym	Synonym	
954	770	Phanerotomea		sericicollis	Koch, 1952				Synonym	Synonym	
955	771	Psammodes		similis	Péringuey, 1899				Synonym	Synonym	
956	772	Psammodes		sjoestedti	Gebien, 1910b				Synonym	Synonym	
957	773	Phanerotomea		spatulipes	Koch, 1952				Synonym	Synonym	
958	774	Psammodes		specularis	Péringuey, 1899				Synonym	Synonym	
959	775	Phanerotomea		spinigerus	Koch, 1952				Synonym	Synonym	
960	776	Phanerotomea		stevensoni	Koch, 1952				Synonym	Synonym	
961	777	Phanerotomea		tarsocnoides	Koch, 1952				Synonym	Synonym	
962	778	Phanerotomea		temulentus	Koch, 1952				Synonym	Synonym	
963	779	Moluris		tenebrosus	Erichson, 1843				Synonym	Synonym	
964	780	Psammodes		tibialis	Haag-Rutenberg, 1871a				Synonym	Synonym	
965	781	Phanerotomea		torosus	Koch, 1952				Synonym	Synonym	
966	782	Psammodes		transversicollis	Haag-Rutenberg, 1879				Synonym	Synonym	
967	782	Psammodes		cinctipennis	Fairmaire, 1899				Synonym	Synonym	
968	782	Psammodes		valens	Péringuey, 1899				Synonym	Synonym	
969	783	Psammodes		tumidus	Haag-Rutenberg, 1871a				Synonym	Synonym	
970	784	Phanerotomea		umvumanus	Koch, 1952				Synonym	Synonym	
971	785	Psammodes		vagus	Péringuey, 1899				Synonym	Synonym	
972	786	Psammodes		vaticinus	Péringuey, 1899				Synonym	Synonym	
973	787	Psammodes		verecundus	Péringuey, 1899				Synonym	Synonym	
974	788	Phanerotomea		vetustus	Koch, 1952				Synonym	Synonym	
975	789	Psammodes		vexator	Péringuey, 1899				Synonym	Synonym	
976	790	Phanerotomea		virago	Koch, 1952				Synonym	Synonym	
977	791	Phanerotomea		warmeloi	Koch, 1953b				Synonym	Synonym	
978	792	Psammodes		zanzibaricus	Haag-Rutenberg, 1875				Synonym	Synonym	
979	794	Psammodes		sulcicollis	Péringuey, 1885				Synonym	Synonym	
980	794	Psammodes		rehbocki	Kolbe, 1904				Synonym	Synonym	
981	798	Psammodes		compressitarsis	Müller, 1887				Synonym	Synonym	
982	799	Psammodes		dilaticollis	Muller, 1887				Synonym	Synonym	
983	801	Psammodes		errans	Péringuey, 1892				Synonym	Synonym	
984	801	Tarsocnodes		spectabilis	Gebien, 1920				Synonym	Synonym	
985	806	Psammodes		laevipennis	Haag-Rutenberg, 1879				Synonym	Synonym	
986	809	Psammodes		molossa	Haag-Rutenberg, 1871a				Synonym	Synonym	
987	809	Moluris		gravida	Westwood, 1875				Synonym	Synonym	
988	810	Tarsocnodes		variabilis	Koch, 1952				Synonym	Synonym	
989	815	Psammodes		tarsalis	Haag-Rutenberg, 1871a				Synonym	Synonym	
1114	994	Sepidium		spinicollis	Laporte, 1840				Synonym	Synonym	
1115	995	Echinotus		dispar	Péringuey, 1899				Synonym	Synonym	
1116	999	Sepidiacis		compressus	Fairmaire, 1884				Synonym	Synonym	
1117	1004	Sepidium		pradieri	Guérin-Méneville, 1858				Synonym	Synonym	
1118	1007	Sepidium		douei	Solier, 1843				Synonym	Synonym	
1119	1009	Sepidium		servillei	Solier, 1843				Synonym	Synonym	
1120	1009	Sepidium		pallens	Allard, 1874				Synonym	Synonym	
1121	1018	Tenebrio		notoceros	Pallas, 1781				Synonym	Synonym	
1122	1021	Sepidium		abiram	Crotch, 1872				Synonym	Synonym	
1123	1021	Sepidium		vietaeformis	Reitter, 1914				Synonym	Synonym	
1124	1031	Sepidium		elongatum	Mal, 1984				Homonym	Synonym	
1125	1040	Sepidium		bispinicollis	Reitter, 1914				Synonym	Synonym	
1126	1044	Sepidium		genei	Solier, 1843				Synonym	Synonym	
1127	1107	Sepidium		immundum	Reitter, 1914				Synonym	Synonym	
1128	1107	Sepidium		guisseri	Kocher, 1958				Synonym	Synonym	
1129	1107	Sepidium		schrammi	Kocher, 1958				Synonym	Synonym	
1130	1108	Sepidium		laghoatense	Baudi, 1875				Synonym	Synonym	
1131	1109	Sepidium		barthelemyi	Solier, 1843				Synonym	Synonym	
1132	1109	Sepidium		maillei	Solier, 1843				Synonym	Synonym	
1133	1109	Sepidium		serratum	Solier, 1843				Synonym	Synonym	
1134	1109	Sepidium		remotum	Sahlberg, 1903				Synonym	Synonym	
1135	1045	Tenebrio		alexandrinus	Forskål, 1775				Synonym	Synonym	
1136	1045	Sepidium		flexuosum	Solier, 1843				Synonym	Synonym	
1137	1045	Sepidium		cerisyi	Solier, 1843				Synonym	Synonym	
1138	1047	Sepidium		mittrei	Solier, 1843				Synonym	Synonym	
1139	1047	Sepidium		bicorne	Solier, 1843				Synonym	Synonym	
1140	1047	Sepidium		subcornutum	Escalera, 1925				Synonym	Synonym	
1141	1047	Sepidium		sefrense	Rotrou, 1943				Synonym	Synonym	
1142	1048	Sepidium		angustatum	Solier, 1843				Synonym	Synonym	
1143	1048	Sepidium		dufouri	Solier, 1843				Synonym	Synonym	
1144	1048	Sepidium		laterale	Allard, 1874				Synonym	Synonym	
1145	1048	Sepidium		dispar	Desbrochers des Loges, 1881				Synonym	Synonym	
1146	1048	Sepidium		integrum	Desbrochers des Loges, 1881				Synonym	Synonym	
1147	1048	Sepidium		subfurcatum	Desbrochers des Loges, 1881				Synonym	Synonym	
1148	1048	Tenebrio		variegatum	Fabricius, 1792				Synonym	Synonym	
1149	1049	Sepidium		confusum	Allard, 1874				Synonym	Synonym	
1150	1049	Sepidium		macrotys	Antoine, 1951a				Synonym	Synonym	
1151	1112	Sepidium		ovampoense	Péringuey, 1892				Synonym	Synonym	
1152	1054	Sepidium		apicorne	Fairemaire, 1882				Synonym	Synonym	
1153	1060	Sepidium		zambezianum	Péringuey, 1892				Synonym	Synonym	
1154	1064	Sepidium		furcifera	Gerstaecker, 1884				Synonym	Synonym	
1155	1068	Sepidium		hamaticollis	Fairmaire, 1887				Synonym	Synonym	
1156	1071	Sepidium		longehirta	Fairmaire, 1887				Synonym	Synonym	
1157	1078	Sepidium		muscosa	Gerstaecker, 1871				Synonym	Synonym	
1158	1113	Dymonus		dufossei	Solier, 1843				Synonym	Synonym	
